BusID,RouteID,Q,year,RouteDirection,DailyRides(Tuesday),WeekyRides,DailyPassengers,WeeklyPassengers,AVGCommutersPerRide(Weekly),AverageTripDuration,OperatingCostPerPassenger
589,10570,1,2024,2,2,10,8.7,43.5,4.4,57.73,79.63
590,10572,1,2024,1,13,66,354.6,1792.5,27.2,71.7,15.84
591,10572,1,2024,2,9,45,227.8,1142.6,25.4,70.33,16.62
592,10575,1,2024,1,32,176,390.3,2043.5,11.6,49.48,25.57
593,10575,1,2024,2,32,175,429.5,2272.9,13,48.95,22.61
594,10576,1,2024,1,3,15,23.5,117.5,7.8,41.66,31.91
595,10576,1,2024,2,3,15,19.3,96.5,6.4,44.26,41.28
596,10581,1,2024,1,0,3,0,119.4,39.8,113.61,17.13
597,10581,1,2024,2,0,3,0,108.2,36.1,143.14,23.81
598,10582,1,2024,1,0,4,0,137.8,34.4,107.01,18.64
599,10582,1,2024,2,0,4,0,123,30.8,133.19,25.99
600,10583,1,2024,1,0,2,0,37.7,18.8,103.25,32.86
601,10583,1,2024,2,0,2,0,41,20.5,135.87,39.77
602,10584,1,2024,1,0,2,0,47.2,23.6,84.5,21.48
603,10584,1,2024,2,0,2,0,54.2,27.1,113.99,25.24
604,10585,1,2024,1,0,2,0,26.8,13.4,55.01,24.63
605,10585,1,2024,2,0,2,0,38.8,19.4,92.35,28.56
606,10586,1,2024,1,0,3,0,29.2,9.7,105.19,64.84
607,10586,1,2024,2,0,3,0,54.6,18.2,137.4,45.3
608,10587,1,2024,1,0,4,0,20.1,5,99.11,118.34
609,10587,1,2024,2,0,4,0,10.7,2.7,130.22,292.08
610,10589,1,2024,1,0,2,0,14.9,7.4,68.71,55.34
611,10589,1,2024,2,0,2,0,15.2,7.6,101.44,80.08
612,10590,1,2024,1,0,2,0,36.1,18,164.71,54.75
613,10590,1,2024,2,0,3,0,63.5,21.2,141.88,40.22
614,10595,1,2024,1,0,4,0,33.9,8.5,81.92,58
615,10595,1,2024,2,0,6,0,26,4.3,77.52,107.34
616,10596,1,2024,1,0,2,0,65.9,33,148.74,27.08
617,10596,1,2024,2,0,4,0.1,43.2,10.8,124.6,69.22
618,10599,1,2024,1,0,6,6,57.1,9.5,74.48,46.96
619,10599,1,2024,2,0,10,1.9,41.6,4.2,67.57,97.46
620,10600,1,2024,1,30,150,627.8,3139,20.9,70.31,20.16
621,10600,1,2024,2,15,75,212.3,1061.5,14.2,68.71,29.13
622,10601,1,2024,1,44,251,844.5,4896.1,19.5,82.15,25.27
623,10601,1,2024,2,48,275,1047.9,6083.7,22.1,83.91,22.76
624,10602,1,2024,1,3,15,41.3,206.5,13.8,64.63,28.17
625,10604,1,2024,1,4,20,63.1,315.5,15.8,77.88,29.62
626,10604,1,2024,2,5,25,48.6,243,9.7,65.34,40.33
627,10605,1,2024,1,68,380,1683.6,9689.5,25.5,67.52,15.89
628,10605,1,2024,2,76,421,1506.2,8575.5,20.4,66.75,19.66
629,10606,1,2024,1,40,208,617.5,3178.3,15.3,89.8,35.26
630,10606,1,2024,2,43,225,570.9,2981.7,13.3,91.54,41.45
631,10607,1,2024,1,4,20,71.8,359,18,78.64,26.29
632,10610,1,2024,1,17,92,168.5,887.2,9.6,70.29,43.73
633,10610,1,2024,2,38,200,200.2,1040.6,5.2,72.77,83.92
634,10612,1,2024,1,19,113,289.4,1697.8,15,63.32,25.29
635,10613,1,2024,1,31,188,573.4,3267.6,17.4,79.67,27.5
636,10613,1,2024,2,42,257,807,4662.2,18.1,79.09,26.16
637,10614,1,2024,1,11,60,163.9,881.5,14.7,90.93,37.14
638,10614,1,2024,2,15,82,204.7,1094,13.3,91.9,41.33
639,10615,1,2024,2,6,30,21.5,107.5,3.6,73.33,122.79
640,10616,1,2024,1,10,50,70,350,7,98.11,84.09
641,10616,1,2024,2,10,50,62.2,311,6.2,93.14,89.85
642,10617,1,2024,1,17,95,102.6,573,6,49.95,49.69
