OriginCityName,DestinationCityName,OriginCityName_Latitude,OriginCityName_Longitude,DestinationCityName_Latitude,DestinationCityName_Longitude,WeeklyPassengers,DailyPassengers,BusID,OriginDistrict,DestinationDistrict,Country
כרמיאל,חיפה,32.91467,35.292418,32.83036,34.974339,102.8,0.1,5568,Northern,Unknown,Israel
חיפה,כרמיאל,32.83036,34.974339,32.91467,35.292418,2752.7,500.7,5569,Unknown,Northern,Israel
כרמיאל,חיפה,32.91467,35.292418,32.83036,34.974339,3222.6,591.8,5570,Northern,Unknown,Israel
עכו,כרמיאל,32.933051,35.08268,32.91467,35.292418,2522.9,464.8,5571,Northern,Northern,Israel
כרמיאל,עכו,32.91467,35.292418,32.933051,35.08268,3564.8,655.3,5572,Northern,Northern,Israel
כרמיאל,חיפה,32.91467,35.292418,32.83036,34.974339,815.2,145.0,5573,Northern,Unknown,Israel
חיפה,כרמיאל,32.83036,34.974339,32.91467,35.292418,876.7,154.5,5574,Unknown,Northern,Israel
ירושלים,אפרתה,31.768318,35.213711,31.653588,35.149936,54.5,2.5,5575,Jerusalem,Southern,Israel
אפרתה,ירושלים,31.653588,35.149936,31.768318,35.213711,9.8,0.3,5576,Southern,Jerusalem,Israel
תל אביב-יפו,מודיעין-מכבים-רעות,32.066157,34.777821,31.890266,35.010398,618.6,116.8,5577,Haifa,Unknown,Israel
מודיעין-מכבים-רעות,תל אביב-יפו,31.890266,35.010398,32.066157,34.777821,720.3,137.4,5578,Unknown,Haifa,Israel
חיפה,נהריה,32.83036,34.974339,33.011351,35.094671,8929.5,1533.2,5579,Unknown,Northern,Israel
נהריה,חיפה,33.011351,35.094671,32.83036,34.974339,8190.2,1394.9,5580,Northern,Unknown,Israel
חיפה,נהריה,32.83036,34.974339,33.011351,35.094671,1468.5,283.7,5581,Unknown,Northern,Israel
נהריה,חיפה,33.011351,35.094671,32.83036,34.974339,2311.5,454.8,5582,Northern,Unknown,Israel
תל אביב-יפו,גדרה,32.066157,34.777821,31.81753,34.785103,126.5,5.8,5583,Haifa,Central,Israel
